player_no	title	name	fide_id	rating	federation	chinese_name	club
24		Hong, Xing	8606129	2153	CHN	洪星	Zhejiang Shaoxing Yuecheng Team
25	GM	Hou, Yifan	8602980	2596	CHN	侯逸凡	Shenzhen Pengcheng Team
26	WGM	Huang, Qian	8602689	2366	CHN	黄茜	Chongqing Sports Lottery Team
27		Huang, Renjie	8610134	2500	CHN	黄仁杰	Shandong Foreign Languages Team
28	IM	Jiang, Haochen	8631930	2456	CHN	姜昊辰	Shenzhen Pengcheng Team
29		Jiang, Liu	8640653	2323	CHN	姜鎏	Hangzhou Zhiyun School Team
30		Jiang, Tianyu	8627215	2167	CHN	姜天瑜	Beijing Team
31	GM	Ju, Wenjun	8603006	2559	CHN	居文君	China Mobile Shanghai Team
32	IM	Kong, Xiangrui	8632200	2513	CHN	孔祥睿	Hangzhou Bank Team
33	GM	Lei, Tingjie	8605114	2566	CHN	雷挺婕	Chongqing Sports Lottery Team
34	GM	Li, Chao B	8604436	2625	CHN	李超	Beijing Team
35	FM	Li, Guohao	8619999	2342	CHN	李国豪	Jiangxi Chess Association Team
36		Liang, Hanzhe	8640955	1829	CHN	梁晗喆	Chongqing Jiulongpo Team
37	GM	Liu, Qingnan	8603294	2537	CHN	刘庆南	Shandong Foreign Languages Team
38	GM	Liu, Yan	8608962	2516	CHN	刘言	Chongqing Sports Lottery Team
39		Long, Siyu	8613125	1960	CHN	龙思羽	Chongqing Jiulongpo Team
40	IM	Lou, Yiping	8603928	2428	CHN	楼一平	China Mobile Shanghai Team
41	IM	Lu, Miaoyi	8618020	2419	CHN	鹿妙夷	Hangzhou Bank Team
42	GM	Lu, Shanglei	8603332	2635	CHN	卢尚磊	Shenzhen Pengcheng Team
43		Ma, Lin	8610533	2211	CHN	马麟	Jiangxi Chess Association Team
44	GM	Ma, Qun	8603154	2611	CHN	马群	Hangzhou Bank Team
45	IM	Meng, Yihan	8631891	2478	CHN	孟奕涵	China Mobile Shanghai Team
46	WGM	Ni, Shiqun	8608466	2332	CHN	倪诗群	China Mobile Shanghai Team
47	IM	Nie, Xinyang	8607222	2371	CHN	聂心洋	Chongqing Jiulongpo Team
48	GM	Pang, Tao	8609950	2434	CHN	逄韬	Zhejiang Shaoxing Yuecheng Team
49		Peng, Hongchi	8609047	2365	CHN	彭红墀	Beijing Team
50	GM	Peng, Xiongjian	8610550	2519	CHN	彭雄健	Chongqing Jiulongpo Team
51		Pian, Junyao	8632197	1853	CHN	片俊尧	Jiangxi Chess Association Team
52	WIM	Qiu, Mengjie	8606137	2123	CHN	裘孟洁	Zhejiang Shaoxing Yuecheng Team
53	GM	Rapport, Richard	738590	2729	HUN	拉波尔特	Shenzhen Pengcheng Team
54	IM	Shen, Yang	8603162	2383	CHN	沈阳	Jiangsu Team
55		Shi, Yige	8636028	2030	CHN	史亦歌	Shandong Foreign Languages Team
56	IM	Song, Yuxin	8614300	2454	CHN	宋宇新	Shenzhen Pengcheng Team
57	FM	Sun, Chao	8622990	2314	CHN	孙超	Jiangxi Chess Association Team
58		Sun, Jihan	8618992	1835	CHN	孙际涵	Jiangxi Chess Association Team
59	WFM	Sun, Xinyue	8600813	2161	CHN	孙心悦	Shandong Foreign Languages Team
60	GM	Tan, Zhongyi	8603642	2517	CHN	谭中怡	Chongqing Sports Lottery Team
61		Tong, Yiyi	8639868	1957	CHN	佟一一	Tianjin Team
62	GM	Wan, Yunguo	8603189	2503	CHN	万云国	Zhejiang Shaoxing Yuecheng Team
63	IM	Wang, Chen	8601020	2486	CHN	王晨	Chongqing Sports Lottery Team
64	WIM	Wang, Chuqiao	8631638	2214	CHN	王楚乔	Chongqing Sports Lottery Team
65	GM	Wang, Hao	8602883	2684	CHN	王皓	Shenzhen Pengcheng Team
66		Wang, Na	8604088	1823	CHN	王娜	Tianjin Team
67	WIM	Wang, Qinxuanyi	8636060	2254	CHN	王秦萱逸	Hangzhou Zhiyun School Team
68	IM	Wang, Shixu B	8610665	2437	CHN	王仕戌	Tianjin Team
69	IM	Wang, Yanbin	8617996	2422	CHN	王衍斌	Shandong Foreign Languages Team
70		Wang, Yi(Bj)	8640700	1904	CHN	王一	Beijing Team
71	IM	Wang, Yu A.	8601097	2163	CHN	王瑜	Beijing Team
72	GM	Wang, Yue	8601429	2623	CHN	王玥	Tianjin Team
73	GM	Wei, Yi	8603405	2753	CHN	韦奕	Jiangsu Team
74	WFM	Wu, Shuang(Hlj)	8641170	2003	CHN	吴双	Hangzhou Zhiyun School Team
75		Xi, Qi	8618623	2321	CHN	奚奇	Tianjin Team
76	GM	Xiao, Tong(Qd)	8622388	2586	CHN	肖同	Chongqing Sports Lottery Team
77	WGM	Xiao, Yiyi	8606161	2372	CHN	肖依依	Tianjin Team
78	IM	Xie, Kaifan	8619107	2441	CHN	谢铠帆	Hangzhou Zhiyun School Team
79	GM	Xiu, Deshun	8603693	2509	CHN	修德顺	Beijing Team
80		Xu, Chang(Cq)	8641757	2125	CHN	徐畅	Chongqing Jiulongpo Team
81		Xu, Junwei	8611130	2352	CHN	徐浚玮	Shandong Foreign Languages Team
82	IM	Xu, Minghui	8606790	2431	CHN	徐铭辉	Zhejiang Shaoxing Yuecheng Team
83	WIM	Xu, Tong	8601739	2106	CHN	徐桐	Shenzhen Pengcheng Team
84	GM	Xu, Yi	8605564	2465	CHN	徐译	China Mobile Shanghai Team
85	WGM	Xu, Yuanyuan	8601089	2282	CHN	徐媛媛	Hangzhou Bank Team
86	WIM	Xue, Tianhao	8626480	1996	CHN	薛添好	China Mobile Shanghai Team
87	WIM	Yan, Tianqi	8615250	2378	CHN	颜天琪	Hangzhou Bank Team
88	WCM	Yang, Yijing	8608601	2149	CHN	杨弋靖	Chongqing Jiulongpo Team
89	FM	Yang, Zilong	8641528	2317	CHN	杨梓龙	Jiangsu Team
90	WGM	Yu, Jennifer	2078341	2335	USA	于润荷	Shandong Foreign Languages Team
91	GM	Yu, Yangyi	8603820	2714	CHN	余泱漪	Beijing Team
92	GM	Zeng, Chongsheng	8603847	2565	CHN	曾重生	Jiangsu Team
93	WGM	Zhai, Mo	8600201	2330	CHN	翟墨	Shenzhen Pengcheng Team
94		Zhang, DI	8616590	2447	CHN	张帝	Beijing Team
95	WIM	Zhang, Xiao	8610894	2218	CHN	张潇	Jiangsu Team
96	WGM	Zhang, Xiaowen	8603219	2266	CHN	章晓雯	China Mobile Shanghai Team
97	GM	Zhao, Jun	8602522	2538	CHN	赵骏	Shenzhen Pengcheng Team
98	GM	Zhao, Xue	8601283	2433	CHN	赵雪	Shandong Foreign Languages Team
99	WIM	Zhao, Yunqing	8626260	2169	CHN	赵芸卿	Chongqing Jiulongpo Team
100		Zhou, Runyi	8623325	2320	CHN	周润伊	Hangzhou Zhiyun School Team
101		Zhou, Shumeng	8622116	2061	CHN	周书萌	Tianjin Team
102		Zhu, Zile	8647801	1942	CHN	朱子乐	Jiangxi Chess Association Team
