fide_id,list_month,standard,rapid,blitz,inactive
8603073,2026-07,2186,,,
8603090,2026-07,2480,2507,2486,1
8603111,2026-07,2113,,,
8603120,2026-07,2112,,,1
8603138,2026-07,2164,,,1
8603146,2026-07,2041,,,1
8603154,2026-07,2611,2604,2598,
8603162,2026-07,2383,2358,2331,
8603170,2026-07,2011,,,
8603189,2026-07,2503,2496,2513,
8603197,2026-07,2108,2171,2110,
8603200,2026-07,2202,,,
8603219,2026-07,2266,2293,2265,
8603227,2026-07,2182,,,1
8603235,2026-07,2321,,2243,1
8603243,2026-07,2258,,,1
8603251,2026-07,2078,,,
8603260,2026-07,2195,,2095,1
8603278,2026-07,1950,,,1
8603294,2026-07,2537,2514,2537,
8603308,2026-07,2083,,,1
8603316,2026-07,2109,,,1
8603324,2026-07,2029,,,1
8603332,2026-07,2635,2592,2705,
8603340,2026-07,2165,,,1
8603367,2026-07,2294,,,1
8603375,2026-07,2168,,,1
8603383,2026-07,1981,2001,1989,1
8603405,2026-07,2753,2722,2709,
8603413,2026-07,1747,,,
8603421,2026-07,2118,,,1
8603430,2026-07,2236,2131,2136,
8603448,2026-07,2045,,,1
8603456,2026-07,2168,,,1
8603464,2026-07,2102,,,1
8603472,2026-07,1989,1980,,
8603480,2026-07,2112,,,1
8603499,2026-07,2173,,,1
8603502,2026-07,2169,2175,2202,1
8603510,2026-07,2149,,,1
8603529,2026-07,2063,,,1
8603553,2026-07,2291,,,1
8603561,2026-07,2070,,,1
8603570,2026-07,1961,,,
8603588,2026-07,1945,,,1
8603596,2026-07,2175,2195,2170,
8603600,2026-07,2109,,,
8603618,2026-07,2056,,,1
8603626,2026-07,1963,,,1
8603642,2026-07,2517,2502,2424,
8603650,2026-07,2309,,,
8603669,2026-07,2096,,,1
8603677,2026-07,2738,2704,2736,
8603685,2026-07,2213,,,
8603693,2026-07,2509,2546,2439,
8603715,2026-07,2303,,,1
8603723,2026-07,2109,,,1
8603758,2026-07,2221,2224,2136,
8603766,2026-07,1753,,,1
8603782,2026-07,2024,2128,,
8603804,2026-07,1497,,,1
8603812,2026-07,2112,,,
8603820,2026-07,2706,2668,2722,
8603847,2026-07,2565,2475,2508,
8603863,2026-07,2438,2338,2373,
8603898,2026-07,2208,,2220,
8603901,2026-07,2413,2449,2437,
8603910,2026-07,2128,,,1
8603928,2026-07,2435,2437,2434,
8603944,2026-07,1922,,2161,
8603952,2026-07,1752,,,1
8603960,2026-07,2126,,,
8603987,2026-07,1774,,,
8603995,2026-07,2254,2161,2161,
8604002,2026-07,2375,2428,2342,
8604029,2026-07,2167,,,1
8604037,2026-07,2360,2254,2310,1
8604045,2026-07,2054,,,1
8604070,2026-07,2426,2421,2378,
8604088,2026-07,1823,,,
8604096,2026-07,2086,2171,2128,
8604100,2026-07,2149,,,1
8604142,2026-07,1989,,,
8604150,2026-07,2189,2214,,
8604193,2026-07,2298,2308,2261,
8604215,2026-07,1998,1801,1941,
8604240,2026-07,1958,,,1
8604258,2026-07,2029,,,
8604282,2026-07,2334,2289,2232,
8604290,2026-07,2251,2289,,1
8604304,2026-07,2085,,,1
8604312,2026-07,2114,,2104,
8604355,2026-07,2149,,,1
8604363,2026-07,1860,,,1
8604410,2026-07,1902,,,
8604428,2026-07,2134,,,1
8604436,2026-07,2625,2579,2684,
8604460,2026-07,2364,,,1
8604479,2026-07,2168,,,1
8604495,2026-07,2181,,,1
8604509,2026-07,1947,,,1
8604525,2026-07,2364,,,1
8604533,2026-07,2063,,,
8604550,2026-07,1977,,,1
8604622,2026-07,2046,,,1
8604681,2026-07,1975,,,
8604711,2026-07,2178,,,1
8604746,2026-07,2444,2413,2341,1
8604770,2026-07,2028,1999,1999,
8604789,2026-07,1959,1981,2028,
8604797,2026-07,1969,,,
8604843,2026-07,2068,,,1
8604860,2026-07,2117,,,1
8604924,2026-07,2174,,,
8604940,2026-07,2516,2512,2537,
8604959,2026-07,2128,,,1
8604991,2026-07,2148,,,1
8605114,2026-07,2566,2488,2430,
8605149,2026-07,2173,,,1
8605211,2026-07,1604,,,
8605220,2026-07,2093,2055,1920,
8605262,2026-07,1994,2014,1966,
8605327,2026-07,1841,,,
8605351,2026-07,1966,1932,1949,
8605360,2026-07,1949,,,
8605378,2026-07,1953,2125,2056,1
8605386,2026-07,1904,,,
8605394,2026-07,2226,,,1
8605483,2026-07,1709,1636,,
8605505,2026-07,2060,,1986,1
8605564,2026-07,2449,2401,2442,
8605599,2026-07,2050,,,1
8605602,2026-07,1989,1996,,
8605610,2026-07,2220,,2120,
8605629,2026-07,2171,2136,2202,
8605637,2026-07,1941,1917,1933,
8605645,2026-07,1866,,,
8605653,2026-07,2085,2052,2102,
8605661,2026-07,2390,2260,2325,
8605670,2026-07,2005,,,1
8605688,2026-07,2165,,,1
8605696,2026-07,1920,,,1
8605700,2026-07,1932,,,1
8605734,2026-07,1860,,,1
8605742,2026-07,1982,,,1
8605750,2026-07,2419,2393,2346,1
8605777,2026-07,1969,,,1
8605815,2026-07,2126,,,1
8605831,2026-07,1890,,,
8605840,2026-07,2444,2344,2467,1
8605874,2026-07,1925,,,1
8605912,2026-07,2180,2173,2011,
8605920,2026-07,1983,,,1
8605963,2026-07,2388,,2251,
8606021,2026-07,2447,2471,2401,
8606048,2026-07,2102,,2133,1
8606056,2026-07,2039,2031,,
8606099,2026-07,1890,,1976,
8606129,2026-07,2153,2051,2025,
8606137,2026-07,2123,2086,2086,
8606161,2026-07,2372,2198,2166,
8606196,2026-07,2025,1980,,
8606226,2026-07,,1912,,
8606323,2026-07,2236,,,1
8606340,2026-07,2376,2415,2479,1
8606374,2026-07,,2200,1933,
8606455,2026-07,1945,,,1
8606480,2026-07,1989,,,1
8606510,2026-07,1846,,,1
8606528,2026-07,1954,,,1
8606560,2026-07,2145,,2153,
8606730,2026-07,1730,,,1
8606749,2026-07,1957,,,
8606757,2026-07,1702,1642,,1
8606765,2026-07,2183,,,1
8606773,2026-07,2051,1971,,1
8606790,2026-07,2431,2335,2253,
8606846,2026-07,1887,1846,,1
8606854,2026-07,1823,,,1
8606862,2026-07,1935,,,1
8607001,2026-07,1874,,,
8607010,2026-07,1879,,,1
8607028,2026-07,2117,2112,2120,
8607052,2026-07,1841,,,
8607095,2026-07,1791,,,
8607206,2026-07,2457,2416,2474,1
8607222,2026-07,2370,2333,2352,
8607273,2026-07,2110,,,1
8607281,2026-07,1986,,1978,1
8607338,2026-07,2039,,,
8607354,2026-07,2197,,,1
8607370,2026-07,1786,,,1
8607427,2026-07,2107,,,1
8607435,2026-07,2312,2212,2218,1
8607443,2026-07,2114,,,
8607451,2026-07,1886,,,
8607460,2026-07,,1821,,
8607478,2026-07,2232,,2211,
8607508,2026-07,2544,2469,2465,
8607524,2026-07,1911,,,1
8607575,2026-07,1895,,,
8607583,2026-07,2098,,,1
8607591,2026-07,2106,,,1
8607613,2026-07,1810,,,1
8607621,2026-07,2277,2105,2105,
8607680,2026-07,1788,1785,1781,
8607699,2026-07,1866,,,
8607702,2026-07,2168,,,1
8607770,2026-07,2015,1977,1983,
8607818,2026-07,1681,,1695,
8607907,2026-07,1855,1799,,
8607915,2026-07,1780,,,
8607940,2026-07,1917,,,
8607958,2026-07,1755,,,
8607966,2026-07,2276,2128,2135,1
8607974,2026-07,2248,,,1
8607990,2026-07,1968,,,1
8608032,2026-07,2258,2263,2150,
8608040,2026-07,2235,2164,2068,
8608059,2026-07,2550,2460,2415,
8608067,2026-07,2422,,,
8608083,2026-07,1938,,,
8608091,2026-07,1912,,,1
8608105,2026-07,2015,1967,1856,
8608121,2026-07,2057,2069,2083,
8608148,2026-07,1885,,,1
8608156,2026-07,2510,2404,2421,
8608172,2026-07,1898,,,1
8608202,2026-07,1798,,1764,
8608237,2026-07,2164,2072,2072,
8608253,2026-07,2177,2201,2181,1
8608288,2026-07,2619,2600,2552,
8608296,2026-07,1920,,,1
8608342,2026-07,2171,2160,2247,1
8608369,2026-07,2126,2000,1943,
8608377,2026-07,2135,2035,,1
8608393,2026-07,1775,,,
8608407,2026-07,1877,,,1
8608415,2026-07,2196,2125,2201,
8608423,2026-07,1968,,,1
8608440,2026-07,1874,1954,,
8608466,2026-07,2316,2321,2245,
8608474,2026-07,1884,,,
8608520,2026-07,1857,,,1
8608547,2026-07,2482,2376,2335,
8608555,2026-07,2037,2182,2181,1
8608563,2026-07,2001,,,1
8608571,2026-07,1761,,,1
8608580,2026-07,1801,1875,1851,
8608598,2026-07,1821,,,
8608601,2026-07,2149,2014,1951,
8608610,2026-07,1819,,,1
8608644,2026-07,1851,,,
8608660,2026-07,1952,,,1
8608679,2026-07,2163,2204,2169,
8608695,2026-07,1921,,,1
8608709,2026-07,2107,2226,2189,
8608717,2026-07,2177,2055,2069,
8608741,2026-07,1440,,,
8608865,2026-07,1798,,,1
8608873,2026-07,1838,1899,1872,
8608881,2026-07,1981,,,
8608890,2026-07,1554,,,
8608920,2026-07,2027,1987,,
8608946,2026-07,2018,,,
8608962,2026-07,2516,2460,2427,
8608989,2026-07,1923,,1916,
8609012,2026-07,1874,,,1
8609039,2026-07,1849,1833,1809,
8609047,2026-07,2365,2316,2353,
8609055,2026-07,1764,,,
8609063,2026-07,2245,,,1
8609071,2026-07,1935,,,1
8609080,2026-07,1927,,,
8609128,2026-07,2184,,2084,1
8609144,2026-07,1635,,,
8609152,2026-07,1932,,,
8609160,2026-07,2079,2087,2091,
8609179,2026-07,1971,,,
8609209,2026-07,1907,,,1
8609268,2026-07,1674,,,
8609276,2026-07,1935,,,1
8609284,2026-07,1908,1996,2018,1
8609292,2026-07,2241,,2208,
8609322,2026-07,2034,,,1
8609357,2026-07,2403,2392,2351,1
8609373,2026-07,1675,,,1
8609381,2026-07,2338,2296,2201,
8609390,2026-07,2116,,,1
8609403,2026-07,2147,,,1
8609420,2026-07,2040,,1964,1
8609446,2026-07,2147,2143,,1
8609470,2026-07,2368,2339,2339,
8609489,2026-07,2042,,1975,1
8609497,2026-07,2446,2377,2353,
8609535,2026-07,2043,,1975,
8609616,2026-07,2033,,,1
8609640,2026-07,1925,1918,1909,
8609659,2026-07,2393,2322,2295,1
8609667,2026-07,2279,2244,2244,
8609683,2026-07,1743,,,
8609705,2026-07,,,1557,
8609721,2026-07,1942,,,1
8609748,2026-07,2364,2219,2226,
8609764,2026-07,1953,,,1
8609772,2026-07,2247,2344,2379,
8609780,2026-07,1961,1893,,
8609837,2026-07,1894,,,
8609861,2026-07,,,2544,
8609870,2026-07,1821,1761,1761,1
8609888,2026-07,1948,2097,,1
8609900,2026-07,1696,,1695,
8609918,2026-07,2282,2182,,1
8609926,2026-07,1803,1743,1743,1
8609934,2026-07,1933,,,
8609950,2026-07,2434,2325,2382,
8609977,2026-07,2103,2081,2080,
8609993,2026-07,2091,2093,2040,
8610061,2026-07,2211,,2138,1
8610088,2026-07,1994,,,1
8610126,2026-07,2202,,,
8610134,2026-07,2490,2434,2442,
8610169,2026-07,2150,,,1
8610185,2026-07,1845,,,1
8610258,2026-07,1945,1859,1954,
8610274,2026-07,1860,,1850,
8610282,2026-07,2019,1963,2002,
8610290,2026-07,1686,,,
8610312,2026-07,2105,2096,2056,
8610320,2026-07,1718,,,
8610339,2026-07,1904,,,
8610371,2026-07,,,1974,
8610380,2026-07,1774,,,
8610401,2026-07,2120,2121,2007,
8610436,2026-07,1963,,,1
8610444,2026-07,1921,,,
8610452,2026-07,1737,,,
8610487,2026-07,1990,1863,1857,
8610495,2026-07,1857,1797,1797,1
8610509,2026-07,1839,,,
8610517,2026-07,1902,,,1
8610533,2026-07,2211,2125,2115,
8610541,2026-07,1741,1737,1717,
8610550,2026-07,2509,2375,2411,
8610576,2026-07,1712,,,
8610606,2026-07,1836,,,1
8610665,2026-07,2437,2391,2345,
8610681,2026-07,1996,,,1
8610690,2026-07,1787,,,
8610703,2026-07,2127,,,1
8610738,2026-07,1552,,,
8610754,2026-07,1984,,,1
8610762,2026-07,1850,1776,,
8610797,2026-07,1601,,,
8610819,2026-07,1753,,,
8610894,2026-07,2214,2029,2053,
8610908,2026-07,1999,,,
8610916,2026-07,1915,,,1
8610940,2026-07,2075,,,1
8610959,2026-07,2418,2388,2369,
8610967,2026-07,1935,1951,,1
8610975,2026-07,2084,2095,2099,
8610983,2026-07,2121,1901,,
8610991,2026-07,1838,,,
8611017,2026-07,2016,,,
8611033,2026-07,1974,,,
8611050,2026-07,1908,1989,1945,
8611068,2026-07,1854,,,
8611076,2026-07,1711,1749,,
8611092,2026-07,2234,2090,2230,
8611106,2026-07,1848,,,1
8611122,2026-07,2191,2231,2169,
8611130,2026-07,2387,2373,2309,
8611149,2026-07,1957,,,1
8611157,2026-07,2013,,2015,1
8611165,2026-07,1958,,,1
8611190,2026-07,1992,,,1
8611211,2026-07,2405,2182,2149,
8611432,2026-07,1908,,,1
8611440,2026-07,2127,,,1
8611483,2026-07,1638,,,1
8611491,2026-07,1774,,,
8611505,2026-07,2112,,,
8611513,2026-07,2514,2396,2422,
8611521,2026-07,,1671,,
8611530,2026-07,1949,,,1
8611548,2026-07,1941,,,1
8611556,2026-07,1972,2064,,1
8611572,2026-07,2510,2427,2404,
8611840,2026-07,1952,,,
8611947,2026-07,1960,,,1
8612277,2026-07,,1852,,
8612285,2026-07,,1585,,
8612404,2026-07,1774,,,1
8612471,2026-07,1747,,,
8612676,2026-07,2013,2012,1934,
8612706,2026-07,2123,,,1
8612714,2026-07,1825,,,1
8612722,2026-07,1733,,,
8612730,2026-07,1902,,,1
8612765,2026-07,1937,,,1
8612781,2026-07,1746,,,1
8612811,2026-07,1855,,,1
8612870,2026-07,1752,1699,,1
8612897,2026-07,1794,,,1
8612919,2026-07,2019,,1951,1
8612927,2026-07,2287,2118,2073,1
8612978,2026-07,1750,,,1
8612994,2026-07,1710,,,1
8613036,2026-07,2041,,,1
8613052,2026-07,1797,,,1
8613087,2026-07,1532,,,1
8613109,2026-07,1762,,,1
8613125,2026-07,1960,,1816,
8613150,2026-07,1796,,1747,1
8613192,2026-07,2038,,,1
8613265,2026-07,1969,,,1
8613303,2026-07,1971,,,1
8613311,2026-07,1751,,,
8613338,2026-07,1769,,,1
8613354,2026-07,1830,,,
8613362,2026-07,2044,2072,2095,1
8613419,2026-07,1989,,,1
8613478,2026-07,1756,1711,1699,
8613508,2026-07,,1746,,
8613540,2026-07,1726,,,
8613567,2026-07,1884,,,1
8613575,2026-07,1928,,,1
8613613,2026-07,1829,,,1
8613818,2026-07,1809,,,1
8613834,2026-07,1906,,,1
8613869,2026-07,1719,1752,1748,
8613915,2026-07,1966,,,1
8613931,2026-07,1897,,,1
8613974,2026-07,1901,,1950,
8614008,2026-07,1519,,,1
8614091,2026-07,1780,,,1
8614288,2026-07,1766,1767,,
8614296,2026-07,1974,1939,1940,
8614300,2026-07,2452,2354,2404,
8614318,2026-07,1891,1928,1846,
8614334,2026-07,1958,1978,1983,
8614342,2026-07,2029,1931,,1
8614350,2026-07,1998,1938,1938,1
8614369,2026-07,2011,,2071,1
8614377,2026-07,1843,,,1
8614385,2026-07,1884,1923,1939,1
8614393,2026-07,1837,,,1
8614407,2026-07,1852,1842,1867,1
8614415,2026-07,1722,,,1
8614466,2026-07,2098,,2026,
8614490,2026-07,1591,1539,1556,1
8614504,2026-07,1676,,,1
8614520,2026-07,1725,1749,1722,
8614555,2026-07,1914,1895,1885,1
8614563,2026-07,1842,1800,1782,1
8614571,2026-07,1769,,,1
8614580,2026-07,1962,1902,1902,1
8614610,2026-07,2287,2232,2257,1
8614628,2026-07,1851,,,1
8614644,2026-07,1803,,,1
8614679,2026-07,1604,,,
8614687,2026-07,1783,1732,1732,1
8614733,2026-07,2466,2435,2375,
8614741,2026-07,1684,1636,1624,1
8614750,2026-07,2308,2269,2287,
8614768,2026-07,1667,1639,,
8614776,2026-07,2097,2237,2140,
8614784,2026-07,1503,1584,,
8614822,2026-07,1849,,,1
8614830,2026-07,1761,,,
8614849,2026-07,1705,1706,,
8614903,2026-07,1687,,,
8614911,2026-07,1915,1873,1855,1
8614938,2026-07,1963,,,1
8614954,2026-07,2288,,1993,
8614962,2026-07,1812,,1761,
8614970,2026-07,1765,,,
8614997,2026-07,1884,,1824,
8615004,2026-07,1723,,,
8615012,2026-07,1808,,,
8615020,2026-07,1885,,,1
8615039,2026-07,1750,,,1
8615055,2026-07,1754,,1812,
8615071,2026-07,1876,,,
8615101,2026-07,1808,,,
8615110,2026-07,2001,,,1
8615128,2026-07,1938,,,
8615152,2026-07,2020,,,1
8615160,2026-07,1990,,,1
8615187,2026-07,1921,1932,1930,1
8615195,2026-07,2014,,,1
8615209,2026-07,2016,2018,,1
8615217,2026-07,1757,,,
8615225,2026-07,1776,,,
8615250,2026-07,2346,2281,2197,
8615268,2026-07,1925,,,1
8615284,2026-07,1809,,,
8615306,2026-07,1821,,1771,
8615322,2026-07,1876,,,
8615330,2026-07,2167,2067,,1
8615349,2026-07,1984,,,1
8615365,2026-07,1824,,,
8615373,2026-07,1856,,,1
8615411,2026-07,1923,1886,1875,
8615420,2026-07,1954,,,
8615446,2026-07,2310,2210,2210,1
8615454,2026-07,1861,,,1
8615470,2026-07,1805,,,1
8615489,2026-07,1962,,,1
8615497,2026-07,1710,,,1
8615527,2026-07,1788,,,1
8615551,2026-07,1887,,,
8615560,2026-07,1539,,,
8615586,2026-07,1701,,,
8615616,2026-07,1756,1766,1741,1
8615624,2026-07,1645,1627,1675,1
8615632,2026-07,1866,,,
8615640,2026-07,1959,,,1
8615675,2026-07,2027,,,1
8615705,2026-07,1858,,,
8615748,2026-07,1633,,,
8615888,2026-07,1623,1705,,
8615985,2026-07,,1658,,
8616108,2026-07,2092,,,1
8616230,2026-07,2019,,,1
8616299,2026-07,1935,1875,1875,1
8616329,2026-07,1827,,1767,
8616337,2026-07,1623,,,
8616370,2026-07,1731,,,1
8616418,2026-07,1716,,,1
8616426,2026-07,1830,1727,1720,1
8616434,2026-07,1711,,1708,1
8616442,2026-07,1690,,,1
8616450,2026-07,2011,,,1
8616469,2026-07,1972,,,
8616477,2026-07,1776,,,1
8616485,2026-07,1938,1945,1918,1
8616493,2026-07,2008,,2072,
8616590,2026-07,2427,2192,2349,
8616698,2026-07,1771,,,1
8616701,2026-07,1611,,,1
8616736,2026-07,1675,,,
8616779,2026-07,1869,1902,1900,
8616787,2026-07,1790,1700,1730,
8616817,2026-07,1751,,,1
8616850,2026-07,1893,,,1
8616868,2026-07,2377,2179,2068,
8616876,2026-07,1718,,,
8616892,2026-07,1775,,,
8616906,2026-07,1750,1807,1786,1
8616914,2026-07,1752,,,1
8616922,2026-07,1817,,,1
8616930,2026-07,2059,1962,1971,
8616957,2026-07,1668,,,
8616965,2026-07,2152,,,1
8616973,2026-07,1809,,,1
8616981,2026-07,1954,,,1
